Date,Scale,Price,Category,Place,Selling_Type,Item_Name
2015-03-24,Per Kg,64.0,Rice,Maradagahamula,Wholesale,Nadu
2015-03-24,Per Kg,72.0,Rice,Pettah,Wholesale,Kekulu Red
2015-03-24,Per Kg,76.0,Rice,Maradagahamula,Wholesale,Samba
2015-03-25,Per Kg,76.0,Rice,Maradagahamula,Wholesale,Kekulu Red
2015-03-25,Per Kg,75.0,Rice,Pettah,Retail,Kekulu White
2015-03-25,Per Kg,78.0,Rice,Pettah,Retail,Kekulu Red
2015-03-25,Per Kg,68.0,Rice,Pettah,Wholesale,Kekulu White
2015-03-25,Per Kg,64.0,Rice,Maradagahamula,Wholesale,Nadu
2015-03-25,Per Kg,63.0,Rice,Maradagahamula,Wholesale,Kekulu White
2015-03-25,Per Kg,82.0,Rice,Pettah,Wholesale,Samba
2015-03-25,Per Kg,72.0,Rice,Pettah,Wholesale,Kekulu Red
2015-03-25,Per Kg,76.0,Rice,Maradagahamula,Wholesale,Samba
2015-03-25,Per Kg,87.0,Rice,Pettah,Retail,Samba
2015-03-25,Per Kg,72.0,Rice,Pettah,Wholesale,Nadu
2015-03-25,Per Kg,78.0,Rice,Pettah,Retail,Nadu
2015-03-26,Per Kg,63.0,Rice,Maradagahamula,Wholesale,Kekulu White
2015-03-26,Per Kg,76.0,Rice,Maradagahamula,Wholesale,Kekulu Red
2015-03-26,Per Kg,72.0,Rice,Pettah,Wholesale,Kekulu Red
2015-03-26,Per Kg,72.0,Rice,Pettah,Wholesale,Nadu
2015-03-26,Per Kg,68.0,Rice,Pettah,Wholesale,Kekulu White
2015-03-26,Per Kg,87.0,Rice,Pettah,Retail,Samba
2015-03-26,Per Kg,76.0,Rice,Maradagahamula,Wholesale,Samba
2015-03-26,Per Kg,75.0,Rice,Pettah,Retail,Kekulu White
2015-03-26,Per Kg,64.0,Rice,Maradagahamula,Wholesale,Nadu
2015-03-26,Per Kg,78.0,Rice,Pettah,Retail,Nadu
2015-03-26,Per Kg,78.0,Rice,Pettah,Retail,Kekulu Red
2015-03-26,Per Kg,82.0,Rice,Pettah,Wholesale,Samba
2015-03-27,Per Kg,78.0,Rice,Pettah,Retail,Kekulu Red
2015-03-27,Per Kg,76.0,Rice,Maradagahamula,Wholesale,Kekulu Red
2015-03-27,Per Kg,75.0,Rice,Pettah,Retail,Kekulu White
2015-03-27,Per Kg,82.0,Rice,Pettah,Wholesale,Samba
2015-03-27,Per Kg,64.0,Rice,Maradagahamula,Wholesale,Nadu
2015-03-27,Per Kg,68.0,Rice,Pettah,Wholesale,Kekulu White
2015-03-27,Per Kg,72.0,Rice,Pettah,Wholesale,Nadu
2015-03-27,Per Kg,64.0,Rice,Maradagahamula,Wholesale,Kekulu White
2015-03-27,Per Kg,76.0,Rice,Maradagahamula,Wholesale,Samba
2015-03-27,Per Kg,87.0,Rice,Pettah,Retail,Samba
2015-03-27,Per Kg,78.0,Rice,Pettah,Retail,Nadu
2015-03-27,Per Kg,72.0,Rice,Pettah,Wholesale,Kekulu Red
2015-03-31,Per Kg,68.0,Rice,Pettah,Wholesale,Kekulu White
2015-03-31,Per Kg,87.0,Rice,Pettah,Retail,Samba
2015-03-31,Per Kg,64.0,Rice,Maradagahamula,Wholesale,Nadu
2015-03-31,Per Kg,76.0,Rice,Pettah,Retail,Nadu
2015-03-31,Per Kg,75.0,Rice,Maradagahamula,Wholesale,Kekulu Red
2015-03-31,Per Kg,72.0,Rice,Pettah,Retail,Kekulu White
2015-03-31,Per Kg,82.0,Rice,Pettah,Wholesale,Samba
2015-03-31,Per Kg,72.0,Rice,Pettah,Wholesale,Nadu
2015-03-31,Per Kg,76.0,Rice,Maradagahamula,Wholesale,Samba
2015-03-31,Per Kg,64.0,Rice,Maradagahamula,Wholesale,Kekulu White
2015-03-31,Per Kg,72.0,Rice,Pettah,Wholesale,Kekulu Red
2015-03-31,Per Kg,75.0,Rice,Pettah,Retail,Kekulu Red
2015-04-01,Per Kg,76.0,Rice,Pettah,Retail,Kekulu Red
2015-04-01,Per Kg,63.0,Rice,Maradagahamula,Wholesale,Nadu
2015-04-01,Per Kg,87.0,Rice,Pettah,Retail,Samba
2015-04-01,Per Kg,76.0,Rice,Maradagahamula,Wholesale,Samba
2015-04-01,Per Kg,68.0,Rice,Pettah,Wholesale,Kekulu White
2015-04-01,Per Kg,72.0,Rice,Pettah,Wholesale,Kekulu Red
2015-04-01,Per Kg,75.0,Rice,Pettah,Retail,Nadu
2015-04-01,Per Kg,73.0,Rice,Pettah,Retail,Kekulu White
2015-04-01,Per Kg,70.0,Rice,Pettah,Wholesale,Nadu
2015-04-01,Per Kg,64.0,Rice,Maradagahamula,Wholesale,Kekulu White
2015-04-01,Per Kg,82.0,Rice,Pettah,Wholesale,Samba
2015-04-01,Per Kg,75.0,Rice,Maradagahamula,Wholesale,Kekulu Red
2015-04-02,Per Kg,64.0,Rice,Maradagahamula,Wholesale,Nadu
2015-04-02,Per Kg,69.0,Rice,Pettah,Wholesale,Kekulu White
2015-04-02,Per Kg,80.0,Rice,Pettah,Wholesale,Samba
2015-04-02,Per Kg,76.0,Rice,Pettah,Wholesale,Kekulu Red
2015-04-02,Per Kg,64.0,Rice,Maradagahamula,Wholesale,Kekulu White
2015-04-02,Per Kg,75.0,Rice,Pettah,Retail,Kekulu White
2015-04-02,Per Kg,76.0,Rice,Maradagahamula,Wholesale,Samba
2015-04-02,Per Kg,82.0,Rice,Pettah,Retail,Nadu
2015-04-02,Per Kg,85.0,Rice,Pettah,Retail,Samba
2015-04-02,Per Kg,77.0,Rice,Pettah,Wholesale,Nadu
2015-04-02,Per Kg,75.0,Rice,Maradagahamula,Wholesale,Kekulu Red
2015-04-02,Per Kg,80.0,Rice,Pettah,Retail,Kekulu Red
2015-04-06,Per Kg,86.0,Rice,Pettah,Retail,Samba
2015-04-06,Per Kg,70.0,Rice,Pettah,Wholesale,Kekulu Red
2015-04-06,Per Kg,69.0,Rice,Pettah,Wholesale,Nadu
2015-04-06,Per Kg,66.0,Rice,Pettah,Wholesale,Kekulu White
2015-04-06,Per Kg,64.0,Rice,Maradagahamula,Wholesale,Kekulu White
2015-04-06,Per Kg,81.0,Rice,Pettah,Wholesale,Samba
2015-04-06,Per Kg,75.0,Rice,Pettah,Retail,Kekulu Red
2015-04-06,Per Kg,72.0,Rice,Pettah,Retail,Kekulu White
2015-04-06,Per Kg,63.0,Rice,Maradagahamula,Wholesale,Nadu
2015-04-06,Per Kg,76.0,Rice,Maradagahamula,Wholesale,Samba
2015-04-06,Per Kg,75.0,Rice,Pettah,Retail,Nadu
2015-04-06,Per Kg,75.0,Rice,Maradagahamula,Wholesale,Kekulu Red
2015-04-07,Per Kg,78.0,Rice,Pettah,Wholesale,Kekulu Red
2015-04-07,Per Kg,75.0,Rice,Pettah,Wholesale,Nadu
2015-04-07,Per Kg,85.0,Rice,Pettah,Retail,Samba
2015-04-07,Per Kg,76.0,Rice,Maradagahamula,Wholesale,Samba
2015-04-07,Per Kg,74.0,Rice,Maradagahamula,Wholesale,Kekulu Red
2015-04-07,Per Kg,76.0,Rice,Pettah,Wholesale,Kekulu White
2015-04-07,Per Kg,64.0,Rice,Maradagahamula,Wholesale,Nadu
2015-04-07,Per Kg,82.0,Rice,Pettah,Wholesale,Samba
2015-04-07,Per Kg,78.0,Rice,Pettah,Retail,Nadu
2015-04-07,Per Kg,82.0,Rice,Pettah,Retail,Kekulu Red
2015-04-07,Per Kg,80.0,Rice,Pettah,Retail,Kekulu White
2015-04-07,Per Kg,63.0,Rice,Maradagahamula,Wholesale,Kekulu White
2015-04-08,Per Kg,80.0,Rice,Pettah,Retail,Kekulu Red
2015-04-08,Per Kg,82.0,Rice,Pettah,Wholesale,Samba
2015-04-08,Per Kg,63.0,Rice,Maradagahamula,Wholesale,Nadu
2015-04-08,Per Kg,76.0,Rice,Pettah,Wholesale,Kekulu Red
2015-04-08,Per Kg,63.0,Rice,Maradagahamula,Wholesale,Kekulu White
2015-04-08,Per Kg,72.0,Rice,Pettah,Wholesale,Nadu
2015-04-08,Per Kg,76.0,Rice,Maradagahamula,Wholesale,Samba
2015-04-08,Per Kg,76.0,Rice,Pettah,Retail,Nadu
2015-04-08,Per Kg,78.0,Rice,Pettah,Retail,Kekulu White
2015-04-08,Per Kg,74.0,Rice,Maradagahamula,Wholesale,Kekulu Red
2015-04-08,Per Kg,85.0,Rice,Pettah,Retail,Samba
2015-04-08,Per Kg,74.0,Rice,Pettah,Wholesale,Kekulu White
2015-04-09,Per Kg,74.0,Rice,Pettah,Wholesale,Kekulu White
2015-04-09,Per Kg,73.0,Rice,Maradagahamula,Wholesale,Kekulu Red
2015-04-09,Per Kg,72.0,Rice,Pettah,Wholesale,Nadu
2015-04-09,Per Kg,85.0,Rice,Pettah,Retail,Samba
2015-04-09,Per Kg,82.0,Rice,Pettah,Wholesale,Samba
2015-04-09,Per Kg,80.0,Rice,Pettah,Retail,Kekulu Red
2015-04-09,Per Kg,76.0,Rice,Pettah,Retail,Nadu
2015-04-09,Per Kg,76.0,Rice,Maradagahamula,Wholesale,Samba
2015-04-09,Per Kg,76.0,Rice,Pettah,Wholesale,Kekulu Red
2015-04-09,Per Kg,78.0,Rice,Pettah,Retail,Kekulu White
2015-04-09,Per Kg,64.0,Rice,Maradagahamula,Wholesale,Nadu
2015-04-09,Per Kg,63.0,Rice,Maradagahamula,Wholesale,Kekulu White
2015-04-10,Per Kg,62.0,Rice,Maradagahamula,Wholesale,Kekulu White
2015-04-10,Per Kg,75.0,Rice,Pettah,Retail,Nadu
2015-04-10,Per Kg,76.0,Rice,Pettah,Retail,Kekulu Red
2015-04-10,Per Kg,64.0,Rice,Maradagahamula,Wholesale,Nadu
2015-04-10,Per Kg,72.0,Rice,Pettah,Retail,Kekulu White
2015-04-10,Per Kg,68.0,Rice,Pettah,Wholesale,Nadu
2015-04-10,Per Kg,81.0,Rice,Pettah,Wholesale,Samba
2015-04-10,Per Kg,74.0,Rice,Maradagahamula,Wholesale,Kekulu Red
2015-04-10,Per Kg,75.0,Rice,Maradagahamula,Wholesale,Samba
2015-04-10,Per Kg,65.0,Rice,Pettah,Wholesale,Kekulu White
2015-04-10,Per Kg,71.0,Rice,Pettah,Wholesale,Kekulu Red
2015-04-10,Per Kg,86.0,Rice,Pettah,Retail,Samba
2015-04-21,Per Kg,63.0,Rice,Pettah,Wholesale,Kekulu White
2015-04-21,Per Kg,65.0,Rice,Maradagahamula,Wholesale,Nadu
2015-04-21,Per Kg,78.0,Rice,Pettah,Retail,Nadu
2015-04-21,Per Kg,88.0,Rice,Pettah,Retail,Samba
2015-04-21,Per Kg,77.0,Rice,Pettah,Retail,Kekulu Red
2015-04-21,Per Kg,75.0,Rice,Maradagahamula,Wholesale,Kekulu Red
2015-04-21,Per Kg,68.0,Rice,Pettah,Retail,Kekulu White
2015-04-21,Per Kg,72.0,Rice,Pettah,Wholesale,Kekulu Red
2015-04-21,Per Kg,72.0,Rice,Pettah,Wholesale,Nadu
2015-04-21,Per Kg,63.0,Rice,Maradagahamula,Wholesale,Kekulu White
2015-04-21,Per Kg,78.0,Rice,Maradagahamula,Wholesale,Samba
2015-04-21,Per Kg,82.0,Rice,Pettah,Wholesale,Samba
2015-04-23,Per Kg,73.0,Rice,Maradagahamula,Wholesale,Kekulu Red
2015-04-23,Per Kg,63.0,Rice,Pettah,Wholesale,Kekulu White
2015-04-23,Per Kg,66.0,Rice,Maradagahamula,Wholesale,Nadu
2015-04-23,Per Kg,78.0,Rice,Pettah,Retail,Nadu
2015-04-23,Per Kg,72.0,Rice,Pettah,Wholesale,Nadu
2015-04-23,Per Kg,63.0,Rice,Maradagahamula,Wholesale,Kekulu White
2015-04-23,Per Kg,82.0,Rice,Pettah,Wholesale,Samba
2015-04-23,Per Kg,72.0,Rice,Pettah,Wholesale,Kekulu Red
2015-04-23,Per Kg,77.0,Rice,Pettah,Retail,Kekulu Red
2015-04-23,Per Kg,88.0,Rice,Pettah,Retail,Samba
2015-04-23,Per Kg,78.0,Rice,Maradagahamula,Wholesale,Samba
2015-04-23,Per Kg,68.0,Rice,Pettah,Retail,Kekulu White
2015-04-24,Per Kg,82.0,Rice,Pettah,Wholesale,Samba
2015-04-24,Per Kg,65.0,Rice,Maradagahamula,Wholesale,Nadu
2015-04-24,Per Kg,72.0,Rice,Pettah,Wholesale,Kekulu Red
2015-04-24,Per Kg,63.0,Rice,Maradagahamula,Wholesale,Kekulu White
2015-04-24,Per Kg,73.0,Rice,Maradagahamula,Wholesale,Kekulu Red
2015-04-24,Per Kg,78.0,Rice,Maradagahamula,Wholesale,Samba
2015-04-24,Per Kg,68.0,Rice,Pettah,Retail,Kekulu White
2015-04-24,Per Kg,77.0,Rice,Pettah,Retail,Kekulu Red
2015-04-24,Per Kg,77.0,Rice,Pettah,Retail,Nadu
2015-04-24,Per Kg,88.0,Rice,Pettah,Retail,Samba
2015-04-24,Per Kg,72.0,Rice,Pettah,Wholesale,Nadu
2015-04-24,Per Kg,62.0,Rice,Pettah,Wholesale,Kekulu White
2015-04-27,Per Kg,73.0,Rice,Maradagahamula,Wholesale,Kekulu Red
2015-04-27,Per Kg,69.0,Rice,Pettah,Retail,Kekulu White
2015-04-27,Per Kg,63.0,Rice,Maradagahamula,Wholesale,Kekulu White
2015-04-27,Per Kg,73.0,Rice,Pettah,Wholesale,Kekulu Red
2015-04-27,Per Kg,76.0,Rice,Pettah,Retail,Nadu
2015-04-27,Per Kg,63.0,Rice,Pettah,Wholesale,Kekulu White
2015-04-27,Per Kg,82.0,Rice,Pettah,Wholesale,Samba
2015-04-27,Per Kg,72.0,Rice,Pettah,Wholesale,Nadu
2015-04-27,Per Kg,78.0,Rice,Maradagahamula,Wholesale,Samba
2015-04-27,Per Kg,87.0,Rice,Pettah,Retail,Samba
2015-04-27,Per Kg,77.0,Rice,Pettah,Retail,Kekulu Red
2015-04-27,Per Kg,66.0,Rice,Maradagahamula,Wholesale,Nadu
2015-04-28,Per Kg,71.0,Rice,Pettah,Wholesale,Kekulu Red
2015-04-28,Per Kg,76.0,Rice,Pettah,Retail,Kekulu Red
2015-04-28,Per Kg,75.0,Rice,Pettah,Retail,Nadu
2015-04-28,Per Kg,63.0,Rice,Maradagahamula,Wholesale,Kekulu White
2015-04-28,Per Kg,69.0,Rice,Pettah,Wholesale,Nadu
2015-04-28,Per Kg,68.0,Rice,Pettah,Retail,Kekulu White
2015-04-28,Per Kg,66.0,Rice,Maradagahamula,Wholesale,Nadu
2015-04-28,Per Kg,63.0,Rice,Pettah,Wholesale,Kekulu White
2015-04-28,Per Kg,73.0,Rice,Maradagahamula,Wholesale,Kekulu Red
2015-04-28,Per Kg,82.0,Rice,Pettah,Wholesale,Samba
2015-04-28,Per Kg,78.0,Rice,Maradagahamula,Wholesale,Samba
2015-04-28,Per Kg,86.0,Rice,Pettah,Retail,Samba
2015-04-29,Per Kg,68.0,Rice,Pettah,Retail,Kekulu White
2015-04-29,Per Kg,72.0,Rice,Maradagahamula,Wholesale,Kekulu Red
2015-04-29,Per Kg,76.0,Rice,Pettah,Retail,Kekulu Red
2015-04-29,Per Kg,86.0,Rice,Pettah,Retail,Samba
2015-04-29,Per Kg,78.0,Rice,Maradagahamula,Wholesale,Samba
2015-04-29,Per Kg,82.0,Rice,Pettah,Wholesale,Samba
2015-04-29,Per Kg,62.0,Rice,Maradagahamula,Wholesale,Kekulu White
2015-04-29,Per Kg,69.0,Rice,Pettah,Wholesale,Nadu
2015-04-29,Per Kg,66.0,Rice,Maradagahamula,Wholesale,Nadu
2015-04-29,Per Kg,63.0,Rice,Pettah,Wholesale,Kekulu White
2015-04-29,Per Kg,75.0,Rice,Pettah,Retail,Nadu
2015-04-29,Per Kg,71.0,Rice,Pettah,Wholesale,Kekulu Red
2015-04-30,Per Kg,62.0,Rice,Maradagahamula,Wholesale,Kekulu White
2015-04-30,Per Kg,86.0,Rice,Pettah,Retail,Samba
2015-04-30,Per Kg,68.0,Rice,Pettah,Retail,Kekulu White
2015-04-30,Per Kg,66.0,Rice,Maradagahamula,Wholesale,Nadu
2015-04-30,Per Kg,75.0,Rice,Pettah,Retail,Nadu
2015-04-30,Per Kg,78.0,Rice,Maradagahamula,Wholesale,Samba
2015-04-30,Per Kg,72.0,Rice,Maradagahamula,Wholesale,Kekulu Red
2015-04-30,Per Kg,82.0,Rice,Pettah,Wholesale,Samba
2015-04-30,Per Kg,70.0,Rice,Pettah,Wholesale,Nadu
2015-04-30,Per Kg,63.0,Rice,Pettah,Wholesale,Kekulu White
2015-04-30,Per Kg,76.0,Rice,Pettah,Retail,Kekulu Red
2015-04-30,Per Kg,71.0,Rice,Pettah,Wholesale,Kekulu Red
2015-05-05,Per Kg,73.0,Rice,Maradagahamula,Wholesale,Kekulu Red
2015-05-05,Per Kg,75.0,Rice,Pettah,Retail,Nadu
2015-05-05,Per Kg,67.0,Rice,Maradagahamula,Wholesale,Nadu
2015-05-05,Per Kg,62.0,Rice,Maradagahamula,Wholesale,Kekulu White
2015-05-05,Per Kg,71.0,Rice,Pettah,Wholesale,Kekulu Red
2015-05-05,Per Kg,69.0,Rice,Pettah,Wholesale,Nadu
2015-05-05,Per Kg,86.0,Rice,Pettah,Retail,Samba
2015-05-05,Per Kg,76.0,Rice,Pettah,Retail,Kekulu Red
2015-05-05,Per Kg,68.0,Rice,Pettah,Retail,Kekulu White
2015-05-05,Per Kg,63.0,Rice,Pettah,Wholesale,Kekulu White
2015-05-05,Per Kg,80.0,Rice,Maradagahamula,Wholesale,Samba
2015-05-05,Per Kg,82.0,Rice,Pettah,Wholesale,Samba
2015-05-06,Per Kg,82.0,Rice,Pettah,Wholesale,Samba
2015-05-06,Per Kg,67.0,Rice,Maradagahamula,Wholesale,Nadu
2015-05-06,Per Kg,72.0,Rice,Maradagahamula,Wholesale,Kekulu Red
